SK 570 50 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK57050SA_good_34554/;SK 570 50 SA;Радиатор светодиода;Fischer Elektronik;"Радиатор светодиода - Тип: ребристый; Форма: круглый; R темп.: 1.4 °C/Вт; Примечания: Алюминий; 70x70x50";4;от 3 нед.;782 шт.;По запросу;"";http://res.abtronics.ru//small/photo/164/FISCHERELEKTRONIK/abtronics_SK57050SA.jpg;http://res.abtronics.ru//small/photo/39/other/abtronics_SK57050SA.jpg;"";"";"";http://res.abtronics.ru/pdf/39/other/abtronics_SK57050SA.pdf;"";"";"";"";finish
SK 570 20 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK57020SA_good_34555/;SK 570 20 SA;Радиатор светодиода;Fischer Elektronik;Heat sink 2.2 K/W black anodised without - Aluminium , SK 570 20 SA, Fischer Elektronik, Thermal resistance 2.2K/W , For housing - Suitable for all standard types of LED Very good heat dissipation from LEDs LED assembly via screws, heat conducting adhesive films or heat conducting adhesive;4;от 3 нед.;390 шт.;По запросу;"";http://res.abtronics.ru//small/photo/276/106/788/abtronics_SK57020SA_0.jpg;"";"";"";"";"";"";"";"";"";finish
G269C;Radioelectronic equipment cases;Gainta;http://abtronics.ru/components/G269C_good_34594/;G269C;Корпуса РЭА;Gainta;Enclosure: multipurpose, X:120mm, Y:200mm, Z:75mm, polycarbonate;4;от 3 нед.;341 шт.;По запросу;"";http://res.abtronics.ru//small/photo/995/GaintaIndustriesLtd/abtronics_G269C.jpg;"";"";"";"";"";"";"";"";"";finish
BS39MFBK;Radioelectronic equipment cases;Gainta;http://abtronics.ru/components/BS39MFBK_good_35115/;BS39MFBK;Корпуса РЭА;Gainta;Корпус РЭА -;170;от 3 нед.;873 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
B029MF;Radioelectronic equipment cases;Gainta;http://abtronics.ru/components/B029MF_good_35117/;B029MF;Корпуса РЭА;Gainta;* MATERIAL: ALUMINIUM ALLOY ADC-12 TO JAPAN (JIS) * FINISH: NATURAL ALUMINIUM COLOR * TAPPED HOLES ON THE BODY TO SEIZE THE COVER EASILY * M3.5 COUNTERSUNK STAINLESS SCREWS ARE INCLUDED TO SEIZE THE COVER AND THE BODY * MOUNTING FLANGE IS DESIGNED ON THE BOTTOM OF THE BODY, SO THAT IT CAN BE MOUNTED ON THE WALL EASILY * IP 66 RATING OF ALUMINIUM BOXES ARE AVAILABLE FOR ORDERING ## BSXXMF SERIES OF ALUMINIUM BOXES ARE B0XXMF SERIES OF ALUMINIUM BOXES WITH THE ADHESIVE SEAL . BSXXMF SERIES OF ALUMINIUM BOXES ARE IP66 RATING OF ALUMINIUM BOXES ## ENCLOSURES ARE AVAILABLE FOR ORDERING EX: B011MFLG, B013MFBK, BS11MFLG, BS13MFBK IP 66 CERTIFIED;25;от 3 нед.;276 шт.;По запросу;"";http://res.abtronics.ru//small/photo/995/GaintaIndustriesLtd/abtronics_B029MF.jpg;"";"";"";"";"";"";"";"";"";finish
BS29MF;Radioelectronic equipment cases;Gainta;http://abtronics.ru/components/BS29MF_good_35120/;BS29MF;Корпуса РЭА;Gainta;* MATERIAL: ALUMINIUM ALLOY ADC-12 TO JAPAN (JIS) * FINISH: NATURAL ALUMINIUM COLOR * TAPPED HOLES ON THE BODY TO SEIZE THE COVER EASILY * M3.5 COUNTERSUNK STAINLESS SCREWS ARE INCLUDED TO SEIZE THE COVER AND THE BODY MOUNTING FLANGE IS DESIGNED ON THE BOTTOM OF THE BODY, SO THAT IT CAN BE MOUNTED ON THE WALL EASILY * IP 66 RATING IS AVAILABLE FOR ORDERING (WITH ADHESIVE GASKET) EX: B011MFLG, B013MFBK, BS11MFLG, BS13MFBK;10009;В наличии;13 шт.;По запросу;"";http://res.abtronics.ru//small/photo/995/GaintaIndustriesLtd/abtronics_BS29MF.jpg;"";"";"";"";"";"";"";"";"";finish
BS39MF;Radioelectronic equipment cases;Gainta;http://abtronics.ru/components/BS39MF_good_35121/;BS39MF;Корпуса РЭА;Gainta;* MATERIAL: ALUMINIUM ALLOY ADC-12 TO JAPAN (JIS) * FINISH: NATURAL ALUMINIUM COLOR * TAPPED HOLES ON THE BODY TO SEIZE THE COVER EASILY * M3.5 COUNTERSUNK STAINLESS SCREWS ARE INCLUDED TO SEIZE THE COVER AND THE BODY MOUNTING FLANGE IS DESIGNED ON THE BOTTOM OF THE BODY, SO THAT IT CAN BE MOUNTED ON THE WALL EASILY * IP 66 RATING IS AVAILABLE FOR ORDERING (WITH ADHESIVE GASKET) EX: B011MFLG, B013MFBK, BS11MFLG, BS13MFBK;25;от 3 нед.;618 шт.;По запросу;"";http://res.abtronics.ru//small/photo/995/GaintaIndustriesLtd/abtronics_BS39MF.jpg;"";"";"";"";"";"";"";"";"";finish
BS33MFBK;Radioelectronic equipment cases;Gainta;http://abtronics.ru/components/BS33MFBK_good_40310/;BS33MFBK;Корпуса РЭА;Gainta;Корпус РЭА -;170;от 3 нед.;793 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
BS33;Radioelectronic equipment cases;Gainta;http://abtronics.ru/components/BS33_good_40376/;BS33;Корпуса РЭА;Gainta;SEALED DIECAST 165X127X75;4;от 3 нед.;710 шт.;По запросу;"";http://res.abtronics.ru//small/photo/995/GaintaIndustriesLtd/abtronics_BS33.jpg;"";"";"";"";"";"";"";"";"";finish
JF0925B1H;Fans;"";http://abtronics.ru/components/JF0925B1H_good_41793/;JF0925B1H;Вентиляторы;None;"Вентилятор - Напряжение: 12 VDC; Подшипник: Качения; Ток: 250 мА; Мощность: 3 Вт; Скорость: 2800 об/мин; Шум: 35.1 dBA";170;от 3 нед.;177 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
ME80251V1-000U-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80251V1000UA99_good_42634/;ME80251V1-000U-A99;Вентиляторы;Sunon Fans;SUNON® DR MagLev® fan ME80251V1-000U-A99 (L x W x H) 80 x 25 x 80 mm Operating volta. DR (dust resistant) fan with the following advantages: Blanked & Seamless technology offers the best possible protection against oil leakage. Innovative Seal & Clip design ensures high resistance against the ingress of dust. MagLev® technology also works on a unique principle. The magnetic bearing system uses these forces to stabilise the rotor and prevent wear caused by oscillation, regardless of the position of the fan. SUNON® fans can be used for any heat dissipation application (e. example building elements, cooling, control cabinet construction, computer technology, engineering and much more). Approval: UL, CUR, TUV.;1;от 3 нед.;298 шт.;По запросу;Voltage - Rated 12,0 VDC Noise 33,0 dB(A) Power (Watts) 1,7 W RPM 3200,0 RPM Current Rating 0,145 A Size / Dimension Square - 80mm L x 80mm H x 25mm W Air Flow 41.0 CFM (1.15m³/min) Static Pressure 0.180 in H2O (44.8 Pa) Bearing Type Vapo-Bearing™ Fan Type Tubeaxial Features AutoRestart Termination 2 Wire Leads Weight 0.17 lb (77.11g) Operating Temperature 14 ~ 158°F (-10 ~ 70°C) Voltage Range 4.5 ~ 13.8VDC Life Expectancy 70000 hrs @ 40°C Material - Frame Polybutylene Terephthalate (PBT) Material - Blade Polybutylene Terephthalate (PBT);http://res.abtronics.ru//small/photo/209/087/751/abtronics_ME80251V1-000U-A99_0.jpg;http://res.abtronics.ru//small/photo/164/SUNON/abtronics_ME80251V1000UA99.jpg;http://res.abtronics.ru//small/photo/1/SunonFans/abtronics_ME80251V1000UA99.jpg;http://res.abtronics.ru//small/photo/82/Sunon/abtronics_ME80251V1000UA99.jpg;http://res.abtronics.ru//small/photo/941/SunonFan/abtronics_ME80251V1000UA99.jpg;http://res.abtronics.ru/pdf/39/other/abtronics_ME80251V1000UA99.pdf;"";"";"";"";finish
ME80252V2-0000-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80252V20000A99_good_42638/;ME80252V2-0000-A99;Вентиляторы;Sunon Fans;"Вентилятор - Напряжение: 24 VDC; Подшипник: Скольжения, Vapo; Ток: 59 мА; Мощность: 1.4 Вт; Скорость: 2900 об/мин; Шум: 30 dBA";1;от 3 нед.;489 шт.;По запросу;"";http://res.abtronics.ru//small/photo/10/SUNON/abtronics_ME80252V20000A99.jpg;http://res.abtronics.ru//small/photo/695/SUNON/abtronics_ME80252V20000A99.jpg;http://res.abtronics.ru//small/pdf/695/SUNON/abtronics_ME80252V20000A99.pdf;http://res.abtronics.ru//small/photo/211/SUNON/abtronics_ME80252V20000A99.jpg;"";"";"";"";"";"";finish
ME80251VX-0000-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80251VX0000A99_good_42644/;ME80251VX-0000-A99;Вентиляторы;Sunon Fans;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Vapo; Ток: 160 мА; Мощность: 1.92 Вт; Скорость: 3600 об/мин; Шум: 37 dBA";4;от 3 нед.;404 шт.;По запросу;"";http://res.abtronics.ru//small/photo/9/SUNON/abtronics_ME80251VX0000A99.JPG?m=lN1bi9;"";"";"";"";"";"";"";"";"";finish
ME80251V2-0000-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80251V20000A99_good_42645/;ME80251V2-0000-A99;Вентиляторы;Sunon Fans;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Vapo; Ток: 120 мА; Мощность: 1.4 Вт; Скорость: 2900 об/мин; Шум: 30 dBA";4;от 3 нед.;159 шт.;По запросу;"";http://res.abtronics.ru//small/photo/10/SUNON/abtronics_ME80251V20000A99.jpg;http://res.abtronics.ru//small/photo/211/SUNON/abtronics_ME80251V20000A99.jpg;http://res.abtronics.ru//small/photo/961/Sunon/abtronics_ME80251V20000A99.jpg;"";"";"";"";"";"";"";finish
ME80251V1-0000-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80251V10000A99_good_42646/;ME80251V1-0000-A99;Вентиляторы;Sunon Fans;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Vapo; Ток: 145 мА; Мощность: 1.7 Вт; Скорость: 3200 об/мин; Шум: 33 dBA";1;от 3 нед.;705 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
ME80252V1-000U-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80252V1000UA99_good_42657/;ME80252V1-000U-A99;Вентиляторы;Sunon Fans;Axial fan DC 80 x 80 x 25 mm 24 VDC, ME80252V1-000U-A99, Sunon, Dimensions 80 x 80 x 25mm, Termination Stranded wire 2-pin Brushless axial fan for DC which combines the Maglev technology with Vapo bearing This enables higher capacity, less vibrations and less power consumption compared with a standard fan Can be mounted in a position of your choice Cable connection 2 × 300 mm Auto Restart Function, Long life expectancy;1;от 3 нед.;209 шт.;По запросу;Voltage - Rated 24,0 VDC Noise 33,0 dB(A) Power (Watts) 1,8 W RPM 3200,0 RPM Current Rating 0,073 A Size / Dimension Square - 80mm L x 80mm H x 25mm W Air Flow 41.0 CFM (1.15m³/min) Static Pressure 0.180 in H2O (44.8 Pa) Bearing Type Vapo-Bearing™ Fan Type Tubeaxial Features AutoRestart Termination 2 Wire Leads Weight 0.165 lb (74.84g) Operating Temperature 14 ~ 158°F (-10 ~ 70°C) Voltage Range 10 ~ 27.6VDC Life Expectancy 70000 hrs @ 40°C Material - Frame Polybutylene Terephthalate (PBT) Material - Blade Polybutylene Terephthalate (PBT);http://res.abtronics.ru//small/photo/222/087/751/abtronics_ME80252V1-000U-A99_0.jpg;http://res.abtronics.ru//small/photo/9/SUNON/abtronics_ME80252V1000UA99.JPG?m=NuJSv7;http://res.abtronics.ru//small/photo/1/SunonFans/abtronics_ME80252V1000UA99.jpg;http://res.abtronics.ru//small/photo/961/Sunon/abtronics_ME80252V1000UA99.jpg;"";http://res.abtronics.ru/pdf/961/Sunon/abtronics_ME80252V1000UA99.pdf;"";"";"";"";finish
ME80251V3-0000-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80251V30000A99_good_42739/;ME80251V3-0000-A99;Вентиляторы;Sunon Fans;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Vapo; Ток: 81 мА; Мощность: 1.1 Вт; Скорость: 2600 об/мин; Шум: 28 dBA";4;от 3 нед.;851 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
ME80252V3-0000-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80252V30000A99_good_42747/;ME80252V3-0000-A99;Вентиляторы;Sunon Fans;"Вентилятор - Напряжение: 24 VDC; Подшипник: Скольжения, Vapo; Ток: 49 мА; Мощность: 1.2 Вт; Скорость: 2600 об/мин; Шум: 28 dBA";1;от 3 нед.;356 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
ME80252VX-0000-A99;Fans;Sunon Fans;http://abtronics.ru/components/ME80252VX0000A99_good_42749/;ME80252VX-0000-A99;Вентиляторы;Sunon Fans;"Вентилятор - Напряжение: 24 VDC; Подшипник: Скольжения, Vapo; Ток: 90 мА; Мощность: 2.16 Вт; Скорость: 3600 об/мин; Шум: 37 dBA";4;от 3 нед.;348 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
KF0610H1H-H;Fans;"";http://abtronics.ru/components/KF0610H1HH_good_43332/;KF0610H1H-H;Вентиляторы;None;Вентилятор -;4;от 3 нед.;423 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
JF1425H1HR01;Fans;"";http://abtronics.ru/components/JF1425H1HR01_good_43335/;JF1425H1HR01;Вентиляторы;None;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Magnetic; Ток: 360 мА; Мощность: 4.32 Вт; Скорость: 1800 об/мин; Шум: 37.1 dBA";170;от 3 нед.;416 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
KF0620H1HR01;Fans;"";http://abtronics.ru/components/KF0620H1HR01_good_43336/;KF0620H1HR01;Вентиляторы;None;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Magnetic; Ток: 250 мА; Мощность: 3 Вт; Скорость: 4500 об/мин; Шум: 36.2 dBA";170;от 3 нед.;415 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
KF0820H1HR;Fans;"";http://abtronics.ru/components/KF0820H1HR_good_43337/;KF0820H1HR;Вентиляторы;None;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Magnetic; Ток: 140 мА; Мощность: 1.68 Вт; Скорость: 3000 об/мин; Шум: 31.4 dBA";4;от 3 нед.;745 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
KF0715H1HR01;Fans;"";http://abtronics.ru/components/KF0715H1HR01_good_43340/;KF0715H1HR01;Вентиляторы;None;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Magnetic; Ток: 300 мА; Мощность: 3.6 Вт; Скорость: 4200 об/мин; Шум: 37.1 dBA";170;от 3 нед.;881 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
KF0820H1H-01;Fans;"";http://abtronics.ru/components/KF0820H1H01_good_43342/;KF0820H1H-01;Вентиляторы;None;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения, Magnetic; Ток: 140 мА; Мощность: 1.68 Вт; Скорость: 3000 об/мин; Шум: 31.4 dBA";170;от 3 нед.;879 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
